ZONA,NUCLEO,M/T,LONGITUD,FECHA
Z1 ,N1,M,1.3,18/05/2026
Z1 ,N1,M,4.5,18/05/2026
Z1 ,N1,M,5.0,18/05/2026
Z1 ,N1,M,5.0,18/05/2026
Z1,N1,M,4.0,18/05/2026
Z1,N1,M,6,18/05/2026
Z1,N1,M,8,18/05/2026
Z1,N1,M,4,18/05/2026
Z1,N1,M,4.5,18/05/2026
Z1,N1,M,3.8,18/05/2026
Z1,N1,M,6.5,18/05/2026
Z1,N1,M,6.0,18/05/2026
Z1,N1,M,8.0,18/05/2026
Z1,N1,M,4.5,18/05/2026
Z1,N1,M,4.5,18/05/2026
Z1,N1,M,2.5,18/05/2026
Z1,N1,M,3.0,18/05/2026
Z1,N1,M,2.6,18/05/2026
Z1,N1,M,2.7,18/05/2026
Z1,N1,M,1.8,18/05/2026
Z1,N1,M,1.5,18/05/2026
Z1,N1,M,1.5,18/05/2026
Z1,N2,M,3.5,18/05/2026
Z1,N2,M,7.8,18/05/2026
Z1,N2,M,5.3,18/05/2026
Z1,N2,M,8.0,18/05/2026
Z1,N2,M,4.5,18/05/2026
Z1,N2,M,6.5,18/05/2026
Z1,N2,M,9.0,18/05/2026
Z1,N2,M,12.5,18/05/2026
Z1,N2,M,4.0,18/05/2026
Z1,N2,M,5.5,18/05/2026
Z1,N2,M,5.0,18/05/2026
Z1,N2,M,5.1,18/05/2026
Z1,N2,M,4.0,18/05/2026
Z1,N2,M,4.6,18/05/2026
Z1,N2,M,1.4,18/05/2026
Z1,N2,M,2.1,18/05/2026
Z1,N2,M,3.0,18/05/2026
Z1,N2,M,4.5,18/05/2026
Z1,N2,M,4.5,18/05/2026
Z1,N2,M,3.5,18/05/2026
Z1,N2,M,1.0,18/05/2026
Z1,N2,M,1.5,18/05/2026
Z1,N2,M,5.5,18/05/2026
Z1,N2,M,3.5,18/05/2026
Z1,N2,M,4.5,18/05/2026
Z1,N2,M,3.3,18/05/2026
Z1,N2,M,3.4,18/05/2026
Z1,N2,M,2.6,18/05/2026
Z1,N2,M,1.4,18/05/2026
Z1,N2,M,2.1,18/05/2026
Z1,N2,M,1.8,18/05/2026
Z1,N2,M,5.0,18/05/2026
Z1,N2,M,6.0,18/05/2026
Z1,N2,M,3.2,18/05/2026
Z1,N2,M,3.9,18/05/2026
Z1,N2,M,4.6,18/05/2026
Z1,N2,M,4.0,18/05/2026
Z1,N2,M,3.5,18/05/2026
Z1,N2,M,5.0,18/05/2026
Z1,N2,M,3.8,18/05/2026
Z1,N2,M,4.0,18/05/2026
Z1,N2,M,2.4,18/05/2026
Z1,N2,M,2.1,18/05/2026
Z1,N2,M,2.0,18/05/2026
Z1,N2,M,5.0,18/05/2026
Z1,N2,M,3.5,18/05/2026
Z1,N2,M,4.0,18/05/2026
Z1,N2,M,3.0,18/05/2026
Z1,N2,M,3.3,18/05/2026
Z1,N2,M,4.5,18/05/2026
Z1,N2,M,1.0,18/05/2026
Z1,N2,M,2.5,18/05/2026
Z1,N2,M,2.3,18/05/2026
Z1,N2,M,2.5,18/05/2026
Z1,N3,M,2.8,18/05/2026
Z1,N3,M,4.3,18/05/2026
Z1,N3,M,5.6,18/05/2026
Z1,N3,M,6.0,18/05/2026
Z1,N3,M,3.1,18/05/2026
Z1,N3,M,6.9,18/05/2026
Z1,N3,M,2.1,18/05/2026
Z1,N3,M,2.5,18/05/2026
Z1,N3,M,4.5,18/05/2026
Z1,N3,M,3.5,18/05/2026
Z1,N3,M,6.0,18/05/2026
Z1,N3,M,4.6,18/05/2026
Z1,N3,M,3.3,18/05/2026
Z1,N3,M,2.0,18/05/2026
Z1,N3,M,4.0,18/05/2026
Z1,N3,M,3.3,18/05/2026
Z1,N3,M,2.0,18/05/2026
Z1,N3,M,2.0,18/05/2026
Z1,N3,M,1.1,18/05/2026
Z1,N3,M,3.0,18/05/2026
Z1,N3,M,2.2,18/05/2026
Z1,N3,M,2.8,18/05/2026
Z1,N3,M,2.9,18/05/2026
Z1,N3,M,2.6,18/05/2026
Z1,N3,M,3.0,18/05/2026
Z1,N3,M,1.5,18/05/2026
Z1,N4,M,6.1,18/05/2026
